### first equation  : (1 * (1 + (2 * 6))) = 13
### second equation : ( (1 + 1) * (2 * 6) ) = 24

(1, 6, 2, 9) ('/', '+', '*') [24.0] [2.5714285714285716]
(1, 6, 3, 1) ('*', '*', '+') [24] [24]
(1, 6, 3, 1) ('*', '/', '+') [0.66666666666666663] [24.0]
(1, 6, 3, 1) ('/', '*', '+') [24.0] [0.66666666666666663]
(1, 6, 3, 6) ('+', '*', '*') [109] [24]
(1, 6, 3, 6) ('+', '/', '*') [4.0] [24.0]
(1, 6, 3, 6) ('*', '+', '*') [24] [126]
(1, 6, 3, 6) ('/', '+', '*') [24.0] [2.5714285714285716]
(1, 6, 3, 7) ('*', '*', '-') [24] [24]
(1, 6, 3, 7) ('*', '/', '-') [0.66666666666666663] [24.0]
